Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL768,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,
AL769,unprocessed,Ctenocephalides felis,felis,3,1,2,0,0,0,0,0,,,,,,,,,,Asia,India,Maharashtra,Mumbai,19.0760,72.8777,Canis lupus familiaris,stray dog,01-July-2008,Sze Fui Hii,
AL770,unprocessed,Ctenocephalides canis,,1,1,0,0,0,0,0,0,,,,,,,,,,South America,Chile,Concepci�n Province,Concepci�n,-36.8201,-73.0444,Canis lupus familiaris,dog,03-June-2015,Cristian Alvarez,
AL771,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,South America,Chile,Concepci�n Province,Concepci�n,-36.8201,-73.0444,Felis catus,cat,03-June-2015,Cristian Alvarez,
AL772,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,South America,Chile,Concepci�n Province,Concepci�n,-36.8201,-73.0444,Felis catus,cat,03-June-2015,Cristian Alvarez,
AL773,unprocessed,Ctenocephalides felis,felis,17,16,1,0,0,0,0,0,,,,,,,,,,South America,Chile,Santiago Province,Santiago,-36.8201,-73.0444,Felis catus,cat,03-June-2015,Cristian Alvarez,
AL774,unprocessed,Ctenocephalides felis,felis,10,7,3,0,0,0,0,0,,,,,,,,,,North America,USA,Washington state,Lopez Island,48.4869,-122.8955,Felis catus,cat,15-July-2015,Madrona Murphy,
AL781,AL781-1,Ctenocephalides orientis,,1,0,1,1,0,0,0,0,,PCR failed,,,,,,,,Asia,Bhutan,Samtse district,Gomtu ,26.8174,89.1849,Canis lupus familiaris,free-roaming dog,23-May-2015,Tshokey Tshokey,PCR amplification failure
AL786,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,South America,Chile,Santiago Province,Santiago,-36.8201,-73.0444,Canis lupus familiaris,dog,16-July-2015,Gustavo A. Reyes,
AL787,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,South America,Chile,Santiago Province,Santiago,-36.8201,-73.0444,Canis lupus familiaris,dog,16-July-2015,Gustavo A. Reyes,
AL788,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Camperdown,-33.8858,151.1835,Canis lupus familiaris,dog,14-August-2015,Andrea Lawrence,
AL789,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,United Kingdom,Scotland,Glasgow,55.9041,-4.3216,Felis catus or Canis Lupus familiaris,cat or dog,01-September-2015,Alice Broos & Mark Westman,
AL790,AL790-1,Ctenocephalides felis,felis,1,0,1,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Parkville,-37.7927,144.9607,Canis lupus familiaris,dog,12-October-2015,Sze Fui Hii,
AL791,AL791-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Parkville,-37.7927,144.9607,Felis catus,cat,12-October-2015,Sze Fui Hii,
AL791,unprocessed,Ctenocephalides felis,felis,9,9,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Parkville,-37.7927,144.9607,Felis catus,cat,12-October-2015,Sze Fui Hii,
AL792,AL792-1,Ctenocephalides canis,,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-October-2015,Sze Fui Hii,
AL792,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-October-2015,Sze Fui Hii,
AL793,AL793-1,Ctenocephalides canis,,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-October-2015,Sze Fui Hii,
AL794,AL794-1,Ctenocephalides canis,,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-October-2015,Sze Fui Hii,
AL794,unprocessed,Ctenocephalides canis,,5,2,3,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-October-2015,Sze Fui Hii,
AL795,AL795-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,Victoria,Brisbane,-27.4698,153.0251,Felis catus or Canis Lupus familiaris,cat or dog,12-October-2015,Sze Fui Hii,
AL795,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Brisbane,-27.4698,153.0251,Felis catus or Canis Lupus familiaris,cat or dog,12-October-2015,Sze Fui Hii,
AL796,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Africa,Algeria,Blida province,Blida,36.4799,2.8006,Canis lupus familiaris,dog,20-October-2015,Andrei Mihalca,
AL797,unprocessed,Ctenocephalides canis,,1,0,1,0,0,0,0,0,,,,,,,,,,Africa,Algeria,Tipaza province,Tipaza,36.6179,2.3912,Canis lupus familiaris,dog,20-October-2015,Andrei Mihalca,
AL797,unprocessed,Pulex irritans,,2,2,0,0,0,0,0,0,,,,,,,,,,Africa,Algeria,Tipaza province,Tipaza,36.6179,2.3912,Canis lupus familiaris,dog,20-October-2015,Andrei Mihalca,
AL798,unprocessed,Pulex irritans,,2,1,1,0,0,0,0,0,,,,,,,,,,Africa,Algeria,Tipaza province,Tipaza,36.6179,2.3912,Canis lupus familiaris,dog,20-October-2015,Andrei Mihalca,
AL799,unprocessed,Pulex irritans,,1,1,0,0,0,0,0,0,,,,,,,,,,Africa,Algeria,Tipaza province,Tipaza,36.6179,2.3912,Canis lupus familiaris,dog,20-October-2015,Andrei Mihalca,
AL800,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL801,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL802,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL803,unprocessed,Ctenocephalides felis,felis,4,1,3,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Felis catus,feral cat,25-September-2015,Elias Papadopoulos,
AL804,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL805,unprocessed,Ctenocephalides felis,felis,4,1,3,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL806,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL807,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL808,unprocessed,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL809,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL809,unprocessed,Pulex irritans,,2,1,1,0,0,0,0,0,,,,,,,,,,Europe,Greece,Thessaloniki Prefecture,Thessaloniki,40.6401,22.9444,Canis lupus familiaris,dog,25-September-2015,Elias Papadopoulos,
AL810,unprocessed,Ctenocephalides felis,felis,10,5,5,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,02-September-2015,Queeny Yuen & Michael Reichel,
AL811,unprocessed,Ctenocephalides felis,felis,11,9,2,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,09-September-2015,Queeny Yuen & Michael Reichel,
AL812,unprocessed,Ctenocephalides felis,felis,11,9,2,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,10-September-2015,Queeny Yuen & Michael Reichel,
AL813,unprocessed,Ctenocephalides felis,felis,10,7,3,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,14-September-2015,Queeny Yuen & Michael Reichel,
AL814,unprocessed,Ctenocephalides felis,felis,7,2,5,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,22-September-2015,Queeny Yuen & Michael Reichel,
AL815,unprocessed,Ctenocephalides felis,felis,9,5,4,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,23-September-2015,Queeny Yuen & Michael Reichel,
AL816,unprocessed,Ctenocephalides felis,felis,8,7,1,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,stray cat,29-September-2015,Queeny Yuen & Michael Reichel,
AL817,unprocessed,Ctenocephalides felis,felis,7,5,2,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,stray dog,01-August-2015,Queeny Yuen & Michael Reichel,
AL818,unprocessed,Ctenocephalides felis,felis,10,8,2,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,stray dog,02-September-2015,Queeny Yuen & Michael Reichel,
AL819,unprocessed,Ctenocephalides felis,felis,7,6,1,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,stray dog,07-September-2015,Queeny Yuen & Michael Reichel,
AL828,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL829,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL830,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL832,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL833,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL834,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,"Humboldt County, California",Hoopa,41.0492,-123.6770,Canis lupus familiaris,dog,14-April-2011,Janet Foley,
AL836,unprocessed,Ctenocephalides felis,felis,9,7,2,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Hamilton,-37.7870,175.2793,Felis catus,stray cat,31-March-2015,Maureen Forsyth,
AL837,unprocessed,Ctenocephalides felis,felis,6,5,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Whangarei,-35.7251,174.3237,Felis catus,stray cat,17-June-2015,Maureen Forsyth,
AL838,unprocessed,Ctenocephalides felis,felis,5,4,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Gisborne,-38.6623,178.0176,Felis catus,owned cat,31-July-2014,Maureen Forsyth,
AL839,unprocessed,Ctenocephalides felis,felis,8,7,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Whangarei,-35.7251,174.3237,Felis catus,stray cat,11-February-2015,Maureen Forsyth,
AL840,unprocessed,Ctenocephalides felis,felis,5,4,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Hawera,-39.5883,174.2795,Felis catus,stray cat,02-September-2014,Maureen Forsyth,
AL842,unprocessed,Ctenocephalides felis,felis,6,3,3,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Whangarei,-35.7251,174.3237,Canis lupus familiaris,stray dog,17-May-2015,Maureen Forsyth,
AL843,unprocessed,Ctenocephalides felis,felis,1,unknown,unknown,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Papakura,-37.0677,174.9436,Canis lupus familiaris,owned dog,12-May-2014,Maureen Forsyth,specimen damaged sex unable to be distingushed
AL844,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Porirua,-41.1339,174.8406,Canis lupus familiaris,owned dog,13-June-2014,Maureen Forsyth,
AL845,unprocessed,Ctenocephalides felis,felis,5,1,4,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Papakura,-37.0677,174.9436,Canis lupus familiaris,owned dog,23-April-2014,Maureen Forsyth,
AL846,AL846-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Ngongotaha,-38.0809,176.2125,Felis catus,owned cat,27-August-2014,Maureen Forsyth,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL846,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Ngongotaha,-38.0809,176.2125,Felis catus,owned cat,27-August-2014,Maureen Forsyth,
AL847,unprocessed,Ctenocephalides felis,felis,7,7,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Hastings,-39.6396,176.8392,Felis catus,stray cat,18-June-2014,Maureen Forsyth,
AL848,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Mt. Wellington,-36.9085,174.8387,Felis catus,stray cat,16-June-2014,Maureen Forsyth,
AL849,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Helensville,-36.6775,174.4504,Felis catus,owned cat,16-July-2014,Maureen Forsyth,
AL850,AL850-1,Ctenocephalides felis,felis,1,0,1,1,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Nelson,-41.2706,173.2840,Canis lupus familiaris,owned dog,24-July-2014,Maureen Forsyth,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL850,unprocessed,Ctenocephalides felis,felis,22,15,7,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,South Island,Nelson,-41.2706,173.2840,Canis lupus familiaris,owned dog,24-July-2014,Maureen Forsyth,
AL851,unprocessed,Ctenocephalides felis,felis,11,11,0,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Hamilton,-37.7870,175.2793,Felis catus,stray cat,17-April-2015,Maureen Forsyth,
AL852,unprocessed,Ctenocephalides felis,felis,6,5,1,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Hawera,-39.5883,174.2795,Canis lupus familiaris,owned dog,03-July-2014,Maureen Forsyth,
AL853,unprocessed,Ctenocephalides felis,felis,8,6,2,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Helensville,-36.6775,174.4504,Canis lupus familiaris,owned dog,24-July-2014,Maureen Forsyth,
AL856,unprocessed,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Europe,Sweden,�sterg�tland,Kisa,57.9883,15.6292,Felis catus,cat,16-November-2015,Eva Osterman-Lind,
AL858,unprocessed,Ctenocephalides felis,felis,6,2,4,0,0,0,0,0,,,,,,,,,,Oceania,New Zealand,North Island,Whangarei,-35.7251,174.3237,Canis lupus familiaris,stray dog,13-March-2015,Maureen Forsyth,
AL859,unprocessed,Ctenocephalides felis,felis,9,9,0,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,06-November-2015,Queeny Yuen & Michael Reichel,
AL860,unprocessed,Ctenocephalides felis,felis,8,8,0,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,06-November-2015,Queeny Yuen & Michael Reichel,
AL861,unprocessed,Ctenocephalides felis,felis,9,4,5,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,11-November-2015,Queeny Yuen & Michael Reichel,
AL862,unprocessed,Ctenocephalides felis,felis,9,9,0,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,06-November-2015,Queeny Yuen & Michael Reichel,
AL863,unprocessed,Ctenocephalides felis,felis,9,9,0,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,06-November-2015,Queeny Yuen & Michael Reichel,
AL864,unprocessed,Ctenocephalides felis,felis,10,9,1,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Canis lupus familiaris,dog,17-October-2015,Queeny Yuen & Michael Reichel,
AL865,unprocessed,Ctenocephalides felis,felis,11,9,2,0,0,0,0,0,,,,,,,,,,Asia,Hong Kong,Yuen Long,San Tin,22.4950,114.0696,Felis catus,cat,06-November-2015,Queeny Yuen & Michael Reichel,
AL866,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL867,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL868,unprocessed,Ctenocephalides felis,felis,3,0,3,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL869,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL870,unprocessed,Ctenocephalides felis,felis,3,1,2,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL871,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL872,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Atlanta,33.7490,-84.3880,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL874,unprocessed,Ctenocephalides felis,felis,5,5,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Elberton,34.1112,-82.8671,Felis catus,feral cat,12-October-2015,Jan _lapeta,
AL875,unprocessed,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,19-November-2015,Jan _lapeta,
AL876,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,21-November-2015,Jan _lapeta,
AL878,unprocessed,Ctenocephalides felis,felis,8,6,2,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,24-November-2015,Jan _lapeta,
AL879,AL879-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,25-November-2015,Jan _lapeta,
AL880,unprocessed,Ctenocephalides felis,felis,3,2,1,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,28-November-2015,Jan _lapeta,
AL881,unprocessed,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,19-November-2015,Jan _lapeta,
AL882,unprocessed,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,21-November-2015,Jan _lapeta,
AL884,unprocessed,Ctenocephalides felis,felis,7,5,2,0,0,0,0,0,,,,,,,,,,North America,USA,Georgia,Athens,33.9519,-83.3576,Felis catus,feral cat,24-November-2015,Jan _lapeta,
AL886,AL886-1,Ctenocephalides felis,felis,1,1,0,1,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Haberfield,-33.8833,151.1416,Felis catus,owned cats,05-February-2016,Katrina Gilchrist,
AL886,unprocessed,Ctenocephalides felis,felis,34,26,8,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Haberfield,-33.8833,151.1416,Felis catus,owned cats,05-February-2016,Katrina Gilchrist,
AL887,unprocessed,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Asia,Indonesia,Special Region of Yogyakarta,Gadjah Mada University,-7.7707,110.3788,Felis catus,owned cats,15-February-2016,Wei Ling Koh,
AL902,unprocessed,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Gelugor,5.3691,100.3097,Felis catus,stray cat,02-February-2016,Nur Faeza Abu Kassim,
AL903,unprocessed,Ctenocephalides felis,felis,5,3,2,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Gelugor,5.3691,100.3097,Felis catus,stray cat,02-February-2016,Nur Faeza Abu Kassim,
AL904,unprocessed,Ctenocephalides felis,felis,6,4,2,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Gelugor,5.3691,100.3097,Felis catus,stray cat,02-February-2016,Nur Faeza Abu Kassim,
AL905,unprocessed,Ctenocephalides felis,felis,8,7,1,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Bayan Baru,5.3158,100.2856,Felis catus,stray cat,18-February-2016,Nur Faeza Abu Kassim,
AL906,unprocessed,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Bayan Baru,5.3158,100.2856,Felis catus,stray cat,18-February-2016,Nur Faeza Abu Kassim,
AL907,unprocessed,Ctenocephalides felis,felis,6,2,4,0,0,0,0,0,,,,,,,,,,Asia,Malaysia,Penang Island,Bayan Baru,5.3158,100.2856,Felis catus,stray cat,18-February-2016,Nur Faeza Abu Kassim,
AL910,unprocessed,Ctenocephalides felis,unknown,12,10,2,0,0,0,0,0,,,,,,,,,,Asia,Israel,Haifa District,Hadera,32.4340,34.9197,Felis catus & Canis Lupus familiaris,cats and dogs,21-March-2016,Ilana Mendela,
AL911,unprocessed,Ctenocephalides orientis,,7,7,0,0,0,0,0,0,,,,,,,,,,Asia,China (Tibet),Xizhang province,M�dog county,29.3253,95.3332,Canis lupus familiaris,stray dog,13-November-2015,Kai Dang,
AL912,unprocessed,Ctenocephalides canis,,2,0,2,0,0,0,0,0,,,,,,,,,,Africa,Algeria,B�ja�a Province,B�jaia,36.7509,5.0567,Canis lupus familiaris,dog,03-August-2015,Djamel Tahir,
AL912,unprocessed,Ctenocephalides felis,felis,75,42,33,0,0,0,0,0,,,,,,,,,,Africa,Algeria,B�ja�a Province,B�jaia,36.7509,5.0567,Canis lupus familiaris,dog,03-August-2015,Djamel Tahir,
